##Experiment settings 
#Number of sensors 5 
#Battery usage in 1 moment of time 1.0 
#Battery cappacity 10 
#Sensor range 35 
#Q 0.80 
#C 0.5 
#Con 1.0 
#Coff+ 1.0 
#C1 0.5 
#C2 4.0 
#C3 0.5 
#C4 0.8 
#delta2 0.2 
#seed 1 
#Multirun 3 
#Sensor placement r 
#Poi placement 36 
#Max_num_of_iter 20 
#Max_num_of_runs 100 
#U 2 
#all-c 0.20 
#all-d 0.20 
#K-c 0.20 
#K-d 0.20 
#K-dc 0.20 
#max k 3 
#p_init_ON 0.5 
#H 4 
#epsylon 0.3 
#strategy change type adopt to the Best 
#strategy change range RTS+ strategy 
#Ready to share income False 
#Ready to share init 0.4 
#iter q_curr av_rev %m %strategy av_k %ALLC %KC %KDC %KD %ALLD s_10 
0 0.56 0.62 0.40 0.00 1.00 0.20 0.20 0.20 0.20 0.20 25 
1 0.31 0.35 0.40 0.60 0.40 0.00 0.40 0.40 0.20 0.00 17 
2 0.31 0.26 0.60 0.00 1.40 0.00 0.00 0.00 0.40 0.60 10 
3 0.67 0.57 0.60 0.40 1.40 0.00 0.40 0.20 0.40 0.00 31 
4 0.31 0.26 0.60 0.00 0.80 0.00 0.40 0.20 0.40 0.00 10 
5 0.61 0.61 0.60 0.60 1.00 0.00 0.20 0.20 0.40 0.20 30 
6 0.31 0.26 0.60 0.00 2.00 0.00 0.00 0.60 0.40 0.00 10 
7 0.56 0.71 0.60 0.60 2.00 0.00 0.20 0.20 0.40 0.20 26 
8 0.67 0.57 0.60 0.00 2.00 0.00 0.60 0.00 0.40 0.00 31 
9 0.61 0.61 0.60 0.60 1.60 0.00 0.20 0.20 0.60 0.00 27 
10 0.31 0.35 0.60 0.00 0.80 0.00 0.00 0.60 0.00 0.40 17 
11 0.61 0.61 0.60 0.40 1.20 0.00 0.40 0.00 0.40 0.20 30 
12 0.56 0.71 0.60 0.00 1.20 0.00 0.00 0.60 0.40 0.00 26 
13 0.56 0.71 0.60 0.60 1.40 0.00 0.40 0.20 0.20 0.20 26 
14 0.31 0.26 0.60 0.00 2.00 0.00 0.00 0.60 0.40 0.00 10 
15 0.31 0.26 0.60 0.20 2.00 0.00 0.00 0.20 0.40 0.40 10 
16 0.25 0.45 0.60 0.00 1.20 0.00 0.60 0.40 0.00 0.00 16 
17 0.42 0.59 0.60 0.60 0.80 0.20 0.40 0.20 0.20 0.00 18 
18 0.36 0.31 0.60 0.00 2.00 0.00 0.60 0.40 0.00 0.00 21 
19 0.42 0.59 0.60 0.60 2.00 0.20 0.20 0.20 0.00 0.40 18 
