##Experiment settings 
#Number of sensors 5 
#Battery usage in 1 moment of time 1.0 
#Battery cappacity 10 
#Sensor range 35 
#Q 0.80 
#C 0.5 
#Con 1.0 
#Coff+ 1.0 
#C1 0.5 
#C2 4.0 
#C3 0.5 
#C4 0.8 
#delta2 0.2 
#seed 1595004036394 
#Multirun 20 
#form file WSN-5d-test0.txt 
#Poi placement 36 
#Max_num_of_iter 20 
#Max_num_of_runs 1 
#U 2 
#all-c 0.20 
#all-d 0.20 
#K-c 0.20 
#K-d 0.20 
#K-dc 0.20 
#max k 3 
#p_init_ON 0.5 
#H 1 
#epsylon 0.05 
#strategy change type adopt to the Best 
#strategy change range RTS+ strategy 
#Ready to share income False 
#Ready to share init 0.4 
#iter q_curr av_rev %m %strategy av_k %ALLC %KC %KDC %KD %ALLD s_10 
0 0.61 0.53 0.40 0.00 1.60 0.00 0.20 0.00 0.20 0.60 17 
1 0.33 0.16 0.40 0.80 1.60 0.00 0.20 0.00 0.20 0.60 1 
2 0.89 0.39 1.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 31 
3 0.00 0.00 1.00 0.20 2.00 0.00 1.00 0.00 0.00 0.00 0 
4 0.75 0.24 1.00 0.00 2.00 0.00 0.80 0.00 0.00 0.20 23 
5 0.00 0.00 1.00 0.60 2.00 0.00 0.60 0.20 0.00 0.20 0 
6 0.89 0.39 1.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 31 
7 0.00 0.00 1.00 0.20 2.00 0.00 1.00 0.00 0.00 0.00 0 
8 0.89 0.39 1.00 0.00 2.00 0.00 1.00 0.00 0.00 0.00 31 
9 0.33 0.16 1.00 0.80 2.00 0.20 0.80 0.00 0.00 0.00 2 
10 0.89 0.39 1.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 31 
11 0.89 0.39 1.00 0.20 2.00 1.00 0.00 0.00 0.00 0.00 31 
12 0.89 0.39 1.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 31 
13 0.75 0.24 1.00 0.60 1.60 0.80 0.20 0.00 0.00 0.00 30 
14 0.89 0.39 1.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 31 
15 0.75 0.24 1.00 0.60 1.80 0.80 0.20 0.00 0.00 0.00 29 
16 0.89 0.39 1.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 31 
17 0.89 0.39 1.00 0.20 2.00 1.00 0.00 0.00 0.00 0.00 31 
18 0.89 0.39 1.00 0.00 2.00 1.00 0.00 0.00 0.00 0.00 31 
19 0.89 0.39 1.00 0.20 2.00 1.00 0.00 0.00 0.00 0.00 31 
