##Experiment settings 
#Number of sensors 5 
#Battery usage in 1 moment of time 1.0 
#Battery cappacity 10 
#Sensor range 35 
#Q 0.80 
#C 0.5 
#Con 1.0 
#Coff+ 1.0 
#C1 0.5 
#C2 4.0 
#C3 0.5 
#C4 0.8 
#delta2 0.2 
#seed 1595004036394 
#Multirun 20 
#form file WSN-5d-test0.txt 
#Poi placement 36 
#Max_num_of_iter 20 
#Max_num_of_runs 1 
#U 2 
#all-c 0.20 
#all-d 0.20 
#K-c 0.20 
#K-d 0.20 
#K-dc 0.20 
#max k 3 
#p_init_ON 0.5 
#H 1 
#epsylon 0.05 
#strategy change type adopt to the Best 
#strategy change range RTS+ strategy 
#Ready to share income False 
#Ready to share init 0.4 
#iter q_curr av_rev %m %strategy av_k %ALLC %KC %KDC %KD %ALLD s_10 
0 0.33 0.16 0.20 0.00 0.60 0.20 0.20 0.00 0.20 0.40 1 
1 0.61 0.53 0.20 0.80 0.60 0.20 0.20 0.00 0.20 0.40 17 
2 0.61 0.53 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 17 
3 0.61 0.53 0.00 0.80 1.00 0.00 1.00 0.00 0.00 0.00 17 
4 0.61 0.53 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 17 
5 0.61 0.53 0.00 0.80 1.00 0.00 1.00 0.00 0.00 0.00 17 
6 0.61 0.53 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 17 
7 0.61 0.53 0.00 0.80 1.00 0.00 1.00 0.00 0.00 0.00 17 
8 0.61 0.53 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 17 
9 0.61 0.53 0.00 0.80 1.00 0.00 1.00 0.00 0.00 0.00 17 
10 0.61 0.53 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 17 
11 0.61 0.53 0.00 0.80 1.00 0.00 1.00 0.00 0.00 0.00 17 
12 0.61 0.53 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 17 
13 0.61 0.53 0.00 0.80 1.00 0.00 1.00 0.00 0.00 0.00 17 
14 0.61 0.53 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 17 
15 0.61 0.53 0.00 0.80 1.00 0.00 1.00 0.00 0.00 0.00 17 
16 0.61 0.53 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 17 
17 0.75 0.51 0.00 0.80 1.20 0.00 1.00 0.00 0.00 0.00 25 
18 0.00 0.00 0.00 0.00 1.00 0.00 1.00 0.00 0.00 0.00 0 
19 0.89 0.39 0.00 0.20 1.00 0.00 1.00 0.00 0.00 0.00 31 
